	Tomato Data Entry			Characterization Descriptors							Quality Measures					
2121-2	SCT_0344	2121	2	p	i	c	p	p	2009/08/13	.	7.79	4.25	0.613517734267817			
2122-2	SCT_0226	2122	2	p	d	s	a	a	2009/08/07	.	.	.	.			
2123-2	SCT_0213	2123	2	p	d	s	p	p	2009/08/13	.	5.22	4.19	0.529608559243622			
2124-2	SCT_0264	2124	2	p	i	c	p	p	2009/08/13	.	6.54	4.33	0.469128569453455			
2125-2	SCT_0241	2125	2	p	d	s	a	p	2009/08/07	.	3.95	4.34	0.379225881927531			
2126-2	SCT_0232	2126	2	p	d	s	p	p	2009/08/13	.	5.26	4.48	0.33672642964255			
2127-2	SCT_0187	2127	2	p	d	s	a	p	2009/08/13	.	4.04	4.3	0.353072372829081			
2128-2	SCT_0259	2128	2	p	d	s	a	a	2009/08/03	.	5.2	4.3	0.439705871717698			
2129-2	SCT_0253	2129	2	p	d	s	p	p	2009/08/13	.	4.94	4.46	0.332367511459474			
2130-2	SCT_0236	2130	2	p	d	s	p	p	2009/08/13	.	4.69	4.23	0.481115594456911			
2131-2	SCT_0225	2131	2	p	d	s	p	p	2009/08/13	.	3.45	4.41	0.298585895540643			
2132-2	SCT_0166	2132	2	p	d	c	p	a	2009/08/13	.	4.64	4.42	0.308393461452562			
2133-2	SCT_0281	2133	2	p	d	s	a	p	2009/08/07	.	3.2	4.32	0.277336169398152			
2134-2	SCT_0481	2134	2	a	d	s	p	p	2009/08/13	.	.	.	.			
2135-2	SCT_0237	2135	2	p	d	s	p	p	2009/08/13	.	4.83	4.6	0.325829134184862			
2136-2	SCT_0164	2136	2	p	d	.	.	.	2009/09/09	.	5.07	4.42	0.377591287608878			
2137-2	SCT_0242	2137	2	p	d	s	a	p	2009/08/07	.	4.33	4.33	0.364514533059653			
2138-2	SCT_0183	2138	2	p	d	s	a	a	2009/08/03	.	4.93	4.23	0.454962085358461			
2139-2	SCT_0181	2139	2	p	d	s	p	p	2009/08/13	.	5.01	4.25	0.419545875120976			
2140-2	SCT_0274	2140	2	p	d	s	p	p	2009/08/13	.	4.88	4.2	0.466404245589033			
2141-2	SCT_0188	2141	2	p	d	s	p	p	2009/08/13	.	4.64	4.41	0.370508045561381			
2142-2	SCT_0227	2142	2	p	d	s	p	p	2009/08/13	.	4.54	4.29	0.381405341019069			
2143-2	SCT_0174	2143	2	p	d	s	p	p	2009/08/13	.	5.02	4.46	0.359610750103694			
2144-2	SCT_0262	2144	2	p	i	c	p	p	2009/08/13	.	5.73	4.27	0.449513437629617			
