	Tomato Data Entry			Characterization Descriptors									Quality Measures					
321-2	SCT_0010	321	2	.	.	.	.	.	.	2009/10/09	.	.	5.96	4.32	0.344354536462931			
322-2	SCT_0095	322	2	.	.	.	.	.	.	2009/09/16	.	.	5.6	4.46	0.296951301221989			
323-2	SCT_0006	323	2	.	.	.	.	.	.	2009/10/09	.	.	5.32	4.38	0.31438697395429			
324-2	SCT_0080	324	2	.	.	.	.	.	.	2009/09/14	.	.	4.58	4.41	0.35416210237485			
325-2	SCT_0073	325	2	.	.	.	.	.	.	.	.	.	.	.	.			
326-2	SCT_0033	326	2	.	.	.	.	.	.	2009/09/14	.	.	4.75	4.57	0.240285364842013			
327-2	SCT_0100	327	2	.	.	.	.	.	.	2009/09/28	.	.	5.17	4.24	0.364514533059653			
328-2	SCT_0128	328	2	.	.	.	.	.	.	2009/09/20	.	.	5.32	4.33	0.359610750103694			
329-2	SCT_0036	329	2	.	.	.	.	.	.	2009/09/14	.	.	5.04	4.6	0.282239952354111			
330-2	SCT_0137	330	2	.	.	.	.	.	.	2009/09/16	.	.	5.18	4.55	0.263169685303158			
331-2	SCT_0037	331	2	.	.	.	.	.	.	2009/09/14	.	.	4.47	4.46	0.265349144394695			
332-2	SCT_0011	332	2	.	.	.	.	.	.	2009/10/05	.	.	4.88	4.32	0.299130760313527			
333-2	SCT_0121	333	2	.	.	.	.	.	.	2009/10/02	.	.	5.64	4.32	0.366149127378306			
334-2	SCT_0004	334	2	.	.	.	.	.	.	2009/09/16	.	.	4.97	4.29	0.366149127378306			
335-2	SCT_0047	335	2	.	.	.	.	.	.	2009/09/16	.	.	4.78	4.42	0.326918863730631			
336-2	SCT_0007	336	2	.	.	.	.	.	.	2009/09/12	.	.	7.07	4.46	0.355796696693503			
337-2	SCT_0025	337	2	.	.	.	.	.	.	2009/09/16	.	.	4.48	4.71	0.207048613696066			
338-2	SCT_0098	338	2	.	.	.	.	.	.	2009/09/14	.	.	4.75	4.34	0.308938326225446			
339-2	SCT_0102	339	2	.	.	.	.	.	.	2009/09/20	.	.	5.05	4.49	0.25227238984547			
340-2	SCT_0054	340	2	.	.	.	.	.	.	2009/09/10	.	.	4.66	4.58	0.241919959160667			
341-2	SCT_0072	341	2	.	.	.	.	.	.	2009/09/16	.	.	4.54	4.25	0.39393723079541			
342-2	SCT_0115	342	2	.	.	.	.	.	.	2009/09/16	.	.	5.12	4.56	0.262079955757389			
343-2	SCT_0057	343	2	.	.	.	.	.	.	2009/09/22	.	.	5.27	4.38	0.348713454646006			
344-2	SCT_0029	344	2	.	.	.	.	.	.	2009/09/28	.	.	5.89	4.28	0.325284269411977			
345-2	SCT_0113	345	2	.	.	.	.	.	.	2009/09/16	.	.	5.38	4.42	0.271342656896423			
346-2	SCT_0032	346	2	.	.	.	.	.	.	2009/09/14	.	.	4.75	4.25	0.289868059174492			
347-2	SCT_0105	347	2	.	.	.	.	.	.	2009/09/16	.	.	5.58	4.43	0.322015080774671			
348-2	SCT_0134	348	2	.	.	.	.	.	.	2009/09/16	.	.	5.9	4.33	0.375411828517341			
349-2	SCT_0088	349	2	.	.	.	.	.	.	2009/09/14	.	.	4.97	4.51	0.245189147797973			
350-2	SCT_0130	350	2	.	.	.	.	.	.	2009/09/16	.	.	5.27	4.57	0.251182660299701			
351-2	SCT_0076	351	2	.	.	.	.	.	.	2009/09/20	.	.	4.88	4.26	0.345989130781584			
352-2	SCT_0109	352	2	.	.	.	.	.	.	2009/09/14	.	.	5.06	4.43	0.253906984164123			
353-2	SCT_0028	353	2	.	.	.	.	.	.	2009/09/16	.	.	6.12	4.53	0.318745892137365			
354-2	SCT_0020	354	2	.	.	.	.	.	.	2009/09/16	.	.	5.82	4.57	0.267528603486233			
355-2	SCT_0030	355	2	.	.	.	.	.	.	2009/09/16	.	.	5.23	4.4	0.298041030767758			
356-2	SCT_0067	356	2	.	.	.	.	.	.	2009/09/16	.	.	5.3	4.39	0.321470216001787			
357-2	SCT_0108	357	2	.	.	.	.	.	.	2009/09/14	.	.	5	4.51	0.261535090984504			
358-2	SCT_0045	358	2	.	.	.	.	.	.	2009/09/16	.	.	5.25	4.4	0.330732917140821			
359-2	SCT_0132	359	2	.	.	.	.	.	.	2009/09/16	.	.	6.43	4.35	0.377591287608878			
360-2	SCT_0135	360	2	.	.	.	.	.	.	2009/09/12	.	.	6.04	4.74	0.245734012570857			
361-2	SCT_0068	361	2	.	.	.	.	.	.	2009/09/25	.	.	5.2	4.38	0.347623725100237			
362-2	SCT_0008	362	2	.	.	.	.	.	.	2009/10/03	.	.	5.99	4.2	0.411917768300595			
363-2	SCT_0042	363	2	.	.	.	.	.	.	2009/09/16	.	.	5.45	4.46	0.306758867133908			
364-2	SCT_0096	364	2	.	.	.	.	.	.	2009/09/14	.	.	6.2	4.66	0.249003201208164			
365-2	SCT_0106	365	2	.	.	.	.	.	.	2009/10/03	.	.	4.75	4.34	0.347078860327353			
366-2	SCT_0087	366	2	.	.	.	.	.	.	2009/09/16	.	.	4.36	4.36	0.291502653493146			
367-2	SCT_0055	367	2	.	.	.	.	.	.	2009/09/16	.	.	4.76	4.35	0.378136152381763			
368-2	SCT_0117	368	2	.	.	.	.	.	.	2009/09/16	.	.	4.07	4.55	0.24355455347932			
369-2	SCT_0046	369	2	.	.	.	.	.	.	2009/09/16	.	.	4.91	4.39	0.310028055771215			
370-2	SCT_0070	370	2	.	.	.	.	.	.	2009/09/16	.	.	4.9	4.27	0.40265506716156			
371-2	SCT_0048	371	2	.	.	.	.	.	.	2009/09/16	.	.	5.36	4.23	0.394482095568294			
372-2	SCT_0056	372	2	.	.	.	.	.	.	2009/09/25	.	.	5	4.33	0.383039935337722			
373-2	SCT_0124	373	2	.	.	.	.	.	.	2009/09/18	.	.	5.7	4.29	0.421180469439629			
374-2	SCT_0079	374	2	.	.	.	.	.	.	2009/09/16	.	.	5.09	4.37	0.345989130781584			
375-2	SCT_0114	375	2	.	.	.	.	.	.	2009/09/16	.	.	5.12	4.47	0.302944813723718			
376-2	SCT_0059	376	2	.	.	.	.	.	.	2009/09/12	.	.	4.13	4.28	0.333457241005243			
377-2	SCT_0107	377	2	.	.	.	.	.	.	2009/09/12	.	.	5.52	4.27	0.410828038754826			
378-2	SCT_0094	378	2	.	.	.	.	.	.	2009/09/25	.	.	4.87	4.21	0.381405341019069			
379-2	SCT_0017	379	2	.	.	.	.	.	.	2009/10/05	.	.	5.28	4.37	0.372142639880035			
380-2	SCT_0127	380	2	.	.	.	.	.	.	2009/10/10	.	.	5.25	4.22	0.476756676273836			
